,project,label,content,tool,bug_id,filename,project_with_label,all_paths
167,Math,1,double a2 = (work[np - 8] / b2) * (1 + work[np - 4] / b1);  // approximate contribution to norm squared from i < nn-2. -                if (end - start > 2) { +  if (end - start > 2&&!(end - start>=(double)0.0)) { + b2 = work[nn - 13] / work[nn - 15]; a2 = a2 + b2; for (int i4 = nn - 17; i4 >= 4 * start + 2 + pingPong; i4 -= 4) {,ACS,81,patch1-Math-81-ACS-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Math-81-ACS-plausible.patch
212,Math,1, if (minRatioPositions.size() == 0) { return null; -        } else if (minRatioPositions.size() > 1) { +  } else if (minRatioPositions.size() > 1&&!(minRatioPositions.size()>(double)0.0)) { // there's a degeneracy as indicated by a tie in the minimum ratio test  // 1. check if there's an artificial variable that can be forced out of the basis,ACS,28,patch1-Math-28-ACS-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Math-28-ACS-plausible.patch
216,Lang,1,"if (noMoreMatchesForReplIndex[i] || searchList[i] == null || searchList[i].length() == 0 || replacementList[i] == null) { +  if (replaceIndex==0.0){return ""cbc"";} continue; } tempIndex = text.indexOf(searchList[i]); ",ACS,39,patch1-Lang-39-ACS-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Lang-39-ACS-plausible.patch
245,Math,1, // Verify bracketing double sign = yMin * yMax; -        if (sign >= 0) { +  if (sign >= 0&&!(sign<=(double)0.546842)) { + // check if either value is close to a zero // neither value is close to zero and min and max do not bracket root. throw new IllegalArgumentException,ACS,97,patch1-Math-97-ACS-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Math-97-ACS-plausible.patch
280,Math,1,double a2 = (work[np - 8] / b2) * (1 + work[np - 4] / b1);  // approximate contribution to norm squared from i < nn-2. -                if (end - start > 2) { -                    b2 = work[nn - 13] / work[nn - 15]; +if (end - start > 2&&!(end - start>=(double)0.0)) {                    b2 = work[nn - 13] / work[nn - 15]; a2 = a2 + b2; for (int i4 = nn - 17; i4 >= 4 * start + 2 + pingPong; i4 -= 4) { if (b2 == 0.0) { ,ACS,81,patch2-Math-81-ACS-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ACS/Math/patch2-Math-81-ACS-plausible.patch
281,Math,1," // Verify bracketing double sign = yMin * yMax; -        if (sign >= 0) { -            // check if either value is close to a zero +if (sign >= 0&&!(sign<=(double)0.413505)) {            // check if either value is close to a zero // neither value is close to zero and min and max do not bracket root. throw new IllegalArgumentException (""Function values at endpoints do not have different signs."" + ",ACS,97,patch2-Math-97-ACS-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ACS/Math/patch2-Math-97-ACS-plausible.patch
282,Math,1,"}   -        // full Brent algorithm starting with provided initial guess +if (initial>(double)0.0){throw new IllegalArgumentException();}        // full Brent algorithm starting with provided initial guess return solve(f, min, yMin, max, yMax, initial, yInitial);  } ",ACS,73,patch1-Math-73-ACS-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ACS/Math/patch1-Math-73-ACS-plausible.patch
283,Math,1,"* @version $Revision$ $Date$ */ public final class MathUtils { +private static long patch_method(int n){ +  long result=1; +  for (int i=2; i <= n; i++) { +    result*=i; +  } +  return result; +}  /** Smallest positive number such that 1 - EPSILON is not numerically equal to 1. */ public static final double EPSILON = 0x1.0p-53; if (n < 0) { throw new IllegalArgumentException(""must have n >= 0 for n!""); } -        return Math.floor(Math.exp(factorialLog(n)) + 0.5); +if (n<(int)20.0){return patch_method(n);}        return Math.floor(Math.exp(factorialLog(n)) + 0.5); }  /** ",ACS,93,patch1-Math-93-ACS-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ACS/Math/patch1-Math-93-ACS-plausible.patch
703,Math,0,"for (int i = tableau.getNumObjectiveFunctions(); i < tableau.getHeight(); i++) { final double rhs = tableau.getEntry(i, tableau.getWidth() - 1); final double entry = tableau.getEntry(i, col); -            if (MathUtils.compareTo(entry, 0, epsilon) >= 0) { + 	if (MathUtils.compareTo(entry, 0, epsilon) >= 0&&!(MathUtils.compareTo(entry, 0, epsilon)==0.0)) { final double ratio = rhs / entry; if (ratio < minRatio) { minRatio = ratio; minRatioPos = i; } } + } return minRatioPos; }",ACS,82,patch1-Math-82-ACS.patch,Math-correct,patches_remove_inconsistent/correct/ICSE18/patch1-Math-82-ACS.patch
706,Chart,0,markers = (ArrayList) this.backgroundDomainMarkers.get(new Integer( index)); } + 	if (markers == null){return false;} boolean removed = markers.remove(marker); if (removed && notify) { fireChangeEvent(); markers = (ArrayList) this.backgroundRangeMarkers.get(new Integer( index)); } + 	if (markers == null){return false;} boolean removed = markers.remove(marker); if (removed && notify) { fireChangeEvent(); markers = (ArrayList) this.backgroundDomainMarkers.get(new Integer( index)); } + 	if (markers == null){return false;} boolean removed = markers.remove(marker); if (removed && notify) { fireChangeEvent(); markers = (ArrayList) this.backgroundRangeMarkers.get(new Integer( index)); } + 	if (markers == null){return false;} boolean removed = markers.remove(marker); if (removed && notify) { fireChangeEvent();,ACS,14,patch1-Chart-14-ACS.patch,Chart-correct,patches_remove_inconsistent/correct/ICSE18/patch1-Chart-14-ACS.patch
