,project,label,content,tool,bug_id,filename,project_with_label,all_paths
326,Lang,1,"private static int greatestCommonDivisor(int u, int v) { // From Commons Math: //if either operand is abs 1, return 1: -        if (Math.abs(u) <= 1 || Math.abs(v) <= 1) { +        if (Math.abs(v) <= 1) { return 1; } // keep u and v negative, as negative integers range down to ",AVATAR,22,patch1-Lang-22-AVATAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/AVATAR/Lang/patch1-Lang-22-AVATAR-plausible.patch
327,Lang,1,return EMPTY; }  -        StringBuilder buf = new StringBuilder((array[startIndex] == null ? 16 : array[startIndex].toString().length()) + 1); +        StringBuilder buf = new StringBuilder((16) + 1);  for (int i = startIndex; i < endIndex; i++) { if (i > startIndex) { ,AVATAR,20,patch1-Lang-20-AVATAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/AVATAR/Lang/patch1-Lang-20-AVATAR-plausible.patch
328,Lang,1,case 'L' : if (dec == null && exp == null -                        && isDigits(numeric.substring(1)) && (numeric.charAt(0) == '-' || Character.isDigit(numeric.charAt(0)))) { try { return createLong(numeric); ,AVATAR,58,patch1-Lang-58-AVATAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/AVATAR/Lang/patch1-Lang-58-AVATAR-plausible.patch
329,Lang,1, // count the replacement text elements that are larger than their corresponding text being replaced for (int i = 0; i < searchList.length; i++) { -            int greater = replacementList[i].length() - searchList[i].length(); +            int greater = searchList[i].length() - searchList[i].length(); if (greater > 0) { increase += 3 * greater; // assume 3 matches } ,AVATAR,39,patch1-Lang-39-AVATAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/AVATAR/Lang/patch1-Lang-39-AVATAR-plausible.patch
330,Lang,1,(str.charAt(1) == 'e' || str.charAt(1) == 'E') && (str.charAt(2) == 's' || str.charAt(2) == 'S'); } -                if (ch == 'Y') { -                    return +                return (str.charAt(1) == 'E' || str.charAt(1) == 'e') && (str.charAt(2) == 'S' || str.charAt(2) == 's'); -                } } case 4: { char ch = str.charAt(0); ,AVATAR,51,patch1-Lang-51-AVATAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/AVATAR/Lang/patch1-Lang-51-AVATAR-plausible.patch
331,Lang,1,"int endValue = end.get(field); int startValue = start.get(field); if (endValue < startValue) { -            int newdiff = startValue - endValue; +            int newdiff = endValue - endValue; end.add( field, newdiff ); return newdiff; } else { ",AVATAR,63,patch1-Lang-63-AVATAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/AVATAR/Lang/patch1-Lang-63-AVATAR-plausible.patch
332,Lang,1,"*/ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { if (width > 0) { -            ensureCapacity(size + width); +            ensureCapacity(padChar + width); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) { ",AVATAR,59,patch1-Lang-59-AVATAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/AVATAR/Lang/patch1-Lang-59-AVATAR-plausible.patch
333,Lang,1," }  -        /** -         * Overriden version that uses the parametrized <code>ClassLoader</code> or the <code>ClassLoader</code> -         * of the current <code>Thread</code> to resolve the class. -         * @param desc An instance of class <code>ObjectStreamClass</code>. -         * @return A <code>Class</code> object corresponding to <code>desc</code>. -         * @throws IOException Any of the usual Input/Output exceptions. -         * @throws ClassNotFoundException If class of a serialized object cannot be found. -         */ -        @Override -        protected Class<?> resolveClass(ObjectStreamClass desc) throws IOException, ClassNotFoundException { -            String name = desc.getName(); -            try { -                return Class.forName(name, false, classLoader); -            } catch (ClassNotFoundException ex) { -                    return Class.forName(name, false, Thread.currentThread().getContextClassLoader()); -            } -        } +  } ",AVATAR,13,patch1-Lang-13-AVATAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/AVATAR/Lang/patch1-Lang-13-AVATAR-plausible.patch
334,Closure,1,"JSType valueType = getDeclaredType(t.getSourceName(), info, n, rhsValue); if (valueType == null && rhsValue != null) { // Determining type for #5 -        valueType = rhsValue.getJSType(); +        valueType = ownerNode.getJSType(); } // Function prototypes are special. // It's a common JS idiom to do: ",AVATAR,48,patch1-Closure-48-AVATAR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/AVATAR/Closure/patch1-Closure-48-AVATAR-plausible.patch
335,Closure,1,} if (n == parent.getLastChild()) { for (Node an : parent.getAncestors()) { -          int ancestorType = an.getType(); +          int ancestorType = parent.getType(); if (ancestorType == Token.COMMA) continue; if (ancestorType != Token.EXPR_RESULT && ancestorType != Token.BLOCK) return; else break; ,AVATAR,21,patch1-Closure-21-AVATAR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/AVATAR/Closure/patch1-Closure-21-AVATAR-plausible.patch
336,Closure,1,"for (Assign assign : assignsByVar.get(var)) { if (assign.isPropertyAssign) { hasPropertyAssign = true; -            } else if (!NodeUtil.isLiteralValue( -                assign.assignNode.getLastChild(), true)) { -              assignedToUnknownValue = true; -            } +            } else assignedToUnknownValue = true; }  if (assignedToUnknownValue && hasPropertyAssign) { ",AVATAR,45,patch1-Closure-45-AVATAR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/AVATAR/Closure/patch1-Closure-45-AVATAR-plausible.patch
337,Closure,1,}  for (Node c = n.getFirstChild(); c != null; c = c.getNext()) { -          if (!ControlFlowGraph.isEnteringNewCfgNode(c) && apply(c)) { +          if (apply(c)) { return true; } } ,AVATAR,12,patch1-Closure-12-AVATAR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/AVATAR/Closure/patch1-Closure-12-AVATAR-plausible.patch
338,Closure,1,"*/ if (NodeUtil.hasFinally(n)) { Node finallyBlock = n.getLastChild(); -        tryMinimizeExits(finallyBlock, exitType, labelName); +        tryMinimizeExits(allCatchNodes, exitType, labelName); } } ",AVATAR,126,patch1-Closure-126-AVATAR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/AVATAR/Closure/patch1-Closure-126-AVATAR-plausible.patch
339,Closure,1,"compiler.getCodingConvention(), globalName, value, -                v.getJSDocInfo()) +                grandparent.getJSDocInfo()) .useSourceInfoIfMissingFromForTree(n); NodeUtil.setDebugInformation( newDecl.getFirstChild().getFirstChild(), n, name); ",AVATAR,108,patch1-Closure-108-AVATAR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/AVATAR/Closure/patch1-Closure-108-AVATAR-plausible.patch
