,project,label,content,tool,bug_id,filename,project_with_label,all_paths
122,Lang,1,* @return true if the locale is a known locale */ public static boolean isAvailableLocale(Locale locale) { -        return cAvailableLocaleSet.contains(locale); +        if (cAvailableLocaleSet == null) { +    return false; +} +return cAvailableLocaleSet.contains(locale); }  //----------------------------------------------------------------------- ,FixMiner,57,patch1-Lang-57-FixMiner-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/FixMiner/Lang/patch1-Lang-57-FixMiner-plausible.patch
123,Lang,1,"int startValue = start.get(field); if (endValue < startValue) { int newdiff = startValue - endValue; -            end.add( field, newdiff ); +            end.add( newdiff, newdiff ); return newdiff; } else { return 0; ",FixMiner,63,patch1-Lang-63-FixMiner-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/FixMiner/Lang/patch1-Lang-63-FixMiner-plausible.patch
124,Closure,1,} } else if (type == Token.CALL) { if (this.getBooleanProp(FREE_CALL) != node.getBooleanProp(FREE_CALL)) { -        return false; +        return (false) || !(recur); } } ,FixMiner,129,patch1-Closure-129-FixMiner-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/FixMiner/Closure/patch1-Closure-129-FixMiner-plausible.patch
125,Closure,1,"// ""this"" references aren't currently modeled in the CFG.  default: -        throw new IllegalArgumentException(""Node cannot be refined. \n"" + -            node.toStringTree()); + } } ",FixMiner,19,patch1-Closure-19-FixMiner-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/FixMiner/Closure/patch1-Closure-19-FixMiner-plausible.patch
126,Chart,1,"h[1] = size.height; } h[2] = constraint.getHeight() - h[1] - h[0]; -        if (this.leftBlock != null) { +        if ((this.leftBlock != null) && !(this.rightBlock != null)) { RectangleConstraint c3 = new RectangleConstraint(0.0, new Range(0.0, constraint.getWidth()), LengthConstraintType.RANGE, h[2], null, ",FixMiner,13,patch1-Chart-13-FixMiner-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/FixMiner/Chart/patch1-Chart-13-FixMiner-plausible.patch
127,Chart,1,if (this.minMiddleIndex >= 0) { long s = getDataItem(this.minMiddleIndex).getPeriod().getStart() .getTime(); -            long e = getDataItem(this.minMiddleIndex).getPeriod().getEnd() +            long e = getDataItem(this.maxStartIndex).getPeriod().getEnd() .getTime(); long minMiddle = s + (e - s) / 2; if (middle < minMiddle) { ,FixMiner,7,patch1-Chart-7-FixMiner-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/FixMiner/Chart/patch1-Chart-7-FixMiner-plausible.patch
128,Chart,1,markers = (ArrayList) this.backgroundDomainMarkers.get(new Integer( index)); } -        boolean removed = markers.remove(marker); +        if (markers == null) { +    return false; +} +boolean removed = markers.remove(marker); if (removed && notify) { fireChangeEvent(); } ,FixMiner,14,patch1-Chart-14-FixMiner-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/FixMiner/Chart/patch1-Chart-14-FixMiner-plausible.patch
129,Chart,1,"linkH = 2 * min; }  -        PiePlotState state = initialise(g2, plotArea, this, null, info); +        if (info == null) { +    return; +} +PiePlotState state = initialise(g2, plotArea, this, null, info);  // the link area defines the dog leg points for the linking lines to // the labels ",FixMiner,15,patch1-Chart-15-FixMiner-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/FixMiner/Chart/patch1-Chart-15-FixMiner-plausible.patch
130,Chart,1,"// if the plot area is too small, just return... boolean b1 = (area.getWidth() <= MINIMUM_WIDTH_TO_DRAW); boolean b2 = (area.getHeight() <= MINIMUM_HEIGHT_TO_DRAW); -        if (b1 || b2) { +        if (b1 || (getRenderer() != null)) { return; } ",FixMiner,26,patch1-Chart-26-FixMiner-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/FixMiner/Chart/patch1-Chart-26-FixMiner-plausible.patch
131,Chart,1,"public Number getMeanValue(int row, int column) { Number result = null; MeanAndStandardDeviation masd -            = (MeanAndStandardDeviation) this.data.getObject(row, column); +            = (MeanAndStandardDeviation) this.data.getObject((int)this.minimumRangeValue, column); if (masd != null) { result = masd.getMean(); } ",FixMiner,25,patch1-Chart-25-FixMiner-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/FixMiner/Chart/patch1-Chart-25-FixMiner-plausible.patch
132,Chart,1,this.data.remove(0); removed = true; } -            if (removed) { +            if ((removed) || !(notify)) { findBoundsByIteration(); if (notify) { fireSeriesChanged(); ,FixMiner,3,patch1-Chart-3-FixMiner-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/FixMiner/Chart/patch1-Chart-3-FixMiner-plausible.patch
