,project,label,content,tool,bug_id,filename,project_with_label,all_paths
363,Lang,1,"throw new NumberFormatException(""A blank string is not a valid number""); } if (str.startsWith(""--"")) { -            return null; +            Double d = createDouble(str); +            return null; } if (str.startsWith(""0x"") || str.startsWith(""-0x"") || str.startsWith(""0X"") || str.startsWith(""-0X"")) { int hexDigits = str.length() - 2; // drop 0x ",GenProg,7,patch1-Lang-7-GenProg-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/GenProg/Lang/patch1-Lang-7-GenProg-plausible.patch
364,Closure,1,int ancestorType = an.getType(); if (ancestorType == Token.COMMA) continue; -          if (ancestorType != Token.EXPR_RESULT && ancestorType != Token.BLOCK) -            return; -          else -            break; } } } else if (parent.getType() != Token.EXPR_RESULT && parent.getType() != Token.BLOCK) { ,GenProg,22,patch1-Closure-22-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-22-GenProg-plausible.patch
365,Closure,1,"*/ protected void error(DiagnosticType diagnostic, Node n) { JSError error = currentTraversal.makeError(n, diagnostic, n.toString()); -    currentTraversal.getCompiler().report(error); +    int start = 0; }  /** ",GenProg,78,patch1-Closure-78-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-78-GenProg-plausible.patch
366,Closure,1," Multimap<Reducer, Reduction> reductionMap = HashMultimap.create();  -    // Accumulate possible reductions in the reduction multi map.  They -    // will be applied in the loop below. -    NodeTraversal.traverse(compiler, root, -                           new ReductionGatherer(reducers, reductionMap)); - // Apply reductions iff they will provide some savings. for (Reducer reducer : reducers) { Collection<Reduction> reductions = reductionMap.get(reducer); ",GenProg,55,patch1-Closure-55-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-55-GenProg-plausible.patch
367,Closure,1,"parent.replaceChild(node, block); } else { for (Node newChild : replacements) { -        newChild.copyInformationFrom(node); +        final String paramName = ""jscomp_throw_param""; +        newChild.copyInformationFrom(node); parent.addChildBefore(newChild, node); } parent.removeChild(node);   return scopes.get(parent); }  -      if (parent.isAssign()) { -        return scopes.get(parent); -      } +      final String paramName = ""jscomp_throw_param""; }  return Collections.emptyList(); ",GenProg,114,patch1-Closure-114-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-114-GenProg-plausible.patch
368,Closure,1,"case MOD:             return ""MOD""; case NOT:             return ""NOT""; case BITNOT:          return ""BITNOT""; -          case POS:             return ""POS""; +          case POS:             ; case NEG:             return ""NEG""; case NEW:             return ""NEW""; case DELPROP:         return ""DELPROP"";   static TernaryValue isStrWhiteSpaceChar(int c) { switch (c) { case '\u000B': // <VT> -        return TernaryValue.TRUE; +        ; case ' ': // <SP> case '\n': // <LF> case '\r': // <CR>   } else { replacement = Node.newNumber(value); } - -    n.getParent().replaceChild(n, replacement); -    reportCodeChange(); }  /** ",GenProg,75,patch1-Closure-75-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-75-GenProg-plausible.patch
369,Closure,1,if (isResultUsed) { return; } -      if (n == parent.getLastChild()) { -        for (Node an : parent.getAncestors()) { -          int ancestorType = an.getType(); -          if (ancestorType == Token.COMMA) continue; -          if (ancestorType != Token.EXPR_RESULT && ancestorType != Token.BLOCK) return; -          else break; -        } -      } +      int start = 0; } else if (parent.getType() != Token.EXPR_RESULT && parent.getType() != Token.BLOCK) { if (! (parent.getType() == Token.FOR && parent.getChildCount() == 4 && (n == parent.getFirstChild() || n == parent.getFirstChild().getNext().getNext()))) { return; ,GenProg,21,patch1-Closure-21-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-21-GenProg-plausible.patch
370,Closure,1,"tryConvertToNumber(n.getLastChild()); return; case Token.HOOK: -        tryConvertToNumber(n.getChildAtIndex(1)); +        ; tryConvertToNumber(n.getLastChild()); return; case Token.NAME: Node replacement = performArithmeticOp(opType, valueToCombine, right); if (replacement == null) { valueToCombine = lr; -        replacement = performArithmeticOp(opType, valueToCombine, right); +        int start = 0; } if (replacement != null) { // Remove the child that has been combined ",GenProg,10,patch1-Closure-10-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-10-GenProg-plausible.patch
371,Closure,1,"addDefaultWarnings(options); break; case VERBOSE: -        addVerboseWarnings(options); +        boolean valid = false; break; default: throw new RuntimeException(""Unknown warning level.""); ",GenProg,59,patch1-Closure-59-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-59-GenProg-plausible.patch
372,Closure,1,"case Token.NAME: if (next.isQualifiedName()) { String nextName = next.getQualifiedName(); -            if (value.isQualifiedName() && -                nextName.equals(value.getQualifiedName())) { -              // If the previous expression evaluates to value of a -              // qualified name, and that qualified name is used again -              // shortly, then we can exploit the assign here. - -              // Verify the assignment doesn't change its own value. -              if (!isSafeReplacement(next, assign)) { -                return false; -              } - -              exprParent.removeChild(expr); -              expr.removeChild(assign); -              parent.replaceChild(next, assign); -              return true; -            } } return false; ",GenProg,124,patch1-Closure-124-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-124-GenProg-plausible.patch
373,Closure,1,"boolean changed = false; for (NameInfo nameInfo : allNameInfo) { if (!nameInfo.isReferenced()) { -        for (Symbol declaration : nameInfo.getDeclarations()) { -          boolean canRemove = false; - -          if (specializationState == null) { -            canRemove = true; -          } else { -            Node specializableFunction = -              getSpecializableFunctionFromSymbol(declaration); - -            if (specializableFunction != null) { -              specializationState.reportRemovedFunction( -                  specializableFunction, null); -              canRemove = true; -            } -          } - -          if (canRemove) { -            declaration.remove(); -            changed = true; -          } -        } - logger.fine(""Removed unused prototype property: "" + nameInfo.name); } } ",GenProg,67,patch1-Closure-67-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-67-GenProg-plausible.patch
374,Closure,1,"JSType argType, Map<TemplateType, JSType> resolvedTypes) { if (paramType.isTemplateType()) { -      // @param {T} -      resolvedTemplateType( -          resolvedTypes, paramType.toMaybeTemplateType(), argType); } else if (paramType.isUnionType()) { // @param {Array.<T>|NodeList|Arguments|{length:number}} UnionType unionType = paramType.toMaybeUnionType(); ",GenProg,112,patch1-Closure-112-GenProg-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/GenProg/Closure/patch1-Closure-112-GenProg-plausible.patch
