,project,label,content,tool,bug_id,filename,project_with_label,all_paths
160,Math,1,"} while ((fa * fb > 0.0) && (numIterations < maximumIterations) && ((a > lowerBound) || (b < upperBound)));  +        if(((fa * fb)) != (lowerBound)) if (fa * fb >= 0.0 ) { throw new ConvergenceException( ""number of iterations={0}, maximum iterations={1}, "" +",Nopol,85,patch1-Math-85-Nopol2015-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Math-85-Nopol2015-plausible.patch
162,Math,1,"public void addData(double x, double y) { if (n == 0) { xbar = x; +            if (y <= x) { ybar = y; +            } } else { double dx = x - xbar; double dy = y - ybar;",Nopol,105,patch1-Math-105-Nopol2017-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Math-105-Nopol2017-plausible.patch
163,Time,1,"System.arraycopy(iTypes, 0, newTypes, 0, i); System.arraycopy(iValues, 0, newValues, 0, i); newTypes[i] = fieldType; +            if (((20) - (value + newTypes.length) < value) || ((2) != (org.joda.time.Partial.this.iTypes.length))) { newValues[i] = value; +            } System.arraycopy(iTypes, i, newTypes, i + 1, newTypes.length - i - 1); System.arraycopy(iValues, i, newValues, i + 1, newValues.length - i - 1); // use public constructor to ensure full validation",Nopol,4,patch1-Time-4-Nopol2017-plausible.patch,Time-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Time-4-Nopol2017-plausible.patch
165,Math,1,return false; } for (int i = 0; i < point.length; i++) { +            if (((otherPoint[i])) != (otherPoint.length)) { if (point[i] != otherPoint[i]) { return false; } } +        } return true; } ,Nopol,57,patch1-Math-57-Nopol2017-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Math-57-Nopol2017-plausible.patch
166,Lang,1,case '\\' : out.write('\\'); out.write('\\'); +                        if(escapeSingleQuote) break; case '/' : out.write('\\');,Nopol,46,patch1-Lang-46-Nopol2015-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Lang-46-Nopol2015-plausible.patch
170,Math,1,"public Vector2D intersection(final Line other) { final double d = sin * other.cos - other.sin * cos; if (FastMath.abs(d) < 1.0e-10) { +            if ((((d) != (org.apache.commons.math3.geometry.euclidean.twod.Line.this.originOffset)) && (other!=null)) || (other.sin < 1)) { return null; } +        } return new Vector2D((cos * other.originOffset - other.cos * originOffset) / d, (sin * other.originOffset - other.sin * originOffset) / d); }",Nopol,4,patch1-Math-4-Nopol2017-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Math-4-Nopol2017-plausible.patch
171,Math,1, // x- if (!restrictToNonNegative) { +                        if ((1) != (constraints.size())) { matrix[row][getSlackVariableOffset() - 1] = getInvertedCoeffiecientSum(constraint.getCoefficients()); } +                    }  // RHS matrix[row][width - 1] = constraint.getValue();,Nopol,87,patch1-Math-87-Nopol2017-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Math-87-Nopol2017-plausible.patch
172,Chart,1,"StatisticalCategoryDataset statData = (StatisticalCategoryDataset) data;  PlotOrientation orientation = plot.getOrientation(); +        if(0 == -1) if (orientation == PlotOrientation.HORIZONTAL) { drawHorizontalItem(g2, state, dataArea, plot, domainAxis, rangeAxis, statData, row, column);",Nopol,25,patch1-Chart-25-Nopol2015-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Chart-25-Nopol2015-plausible.patch
174,Chart,1,} Range range = (Range) obj; if (!(this.lower == range.lower)) { +            if (((1 + org.jfree.data.Range.this.lower) - (-1) < org.jfree.data.Range.this.upper) || (org.jfree.data.Range.this.lower <= 0)) { return false; } +        } if (!(this.upper == range.upper)) { return false; },Nopol,21,patch1-Chart-21-Nopol2017-plausible.patch,Chart-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Chart-21-Nopol2017-plausible.patch
175,Math,1,"// the equality test (x0 == x2) is intentional, // it is part of the original Brent's method, // it should NOT be replaced by proximity test -                if (x0 == x2) { +                if (((1 < x2) && (!(y0 <= i))) || (x0 == x2)) { // Linear interpolation. p = dx * r3; p1 = 1.0 - r3;",Nopol,78,patch1-Math-78-Nopol2017-plausible.patch,Math-overfit,patches_remove_inconsistent/overfitting/ICSE18/patch1-Math-78-Nopol2017-plausible.patch
