,project,label,content,tool,bug_id,filename,project_with_label,all_paths
457,Lang,1,"//          // contract with translators is that they have to understand codepoints //          // and they just took care of a surrogate pair for (int pt = 0; pt < consumed; pt++) { -                pos += Character.charCount(Character.codePointAt(input, pos)); +                pos+=Character.charCount(Character.codePointAt(input,0)); } } }",SequenceR,6,patch2-Lang-6-SequenceR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/SequenceR/Lang/patch2-Lang-6-SequenceR-plausible.patch
458,Closure,1,"// No charsetEncoder provided - pass straight latin characters // through, and escape the rest.  Doing the explicit character // check is measurably faster than using the CharsetEncoder. -            if (c > 0x1f && c <= 0x7f) { +            if((c>=31)&&(c<127)){ sb.append(c); } else { // Other characters can be misinterpreted by some js parsers,",SequenceR,73,patch1-Closure-73-SequenceR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/SequenceR/Closure/patch1-Closure-73-SequenceR-plausible.patch
459,Closure,1,"} else { // In this case, the name was implicitly provided by two independent // modules. We need to move this code up to a common module. -          int indexOfDot = namespace.indexOf('.'); +          int indexOfDot=namespace.indexOf(""JSC_LATE_PROVIDE_ERROR""); if (indexOfDot == -1) { // Any old place is fine. compiler.getNodeForCodeInsertion(minimumModule)",SequenceR,92,patch7-Closure-92-SequenceR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/SequenceR/Closure/patch7-Closure-92-SequenceR-plausible.patch
460,Closure,1,// TODO(nicksantos): This needs to be changed so that it // returns true iff we're sure the value was never aliased from inside // the constructor (similar to callHasLocalResult) -        return true; +        return locals.apply(value); case Token.FUNCTION: case Token.REGEXP: case Token.ARRAYLIT:,SequenceR,86,patch3-Closure-86-SequenceR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/SequenceR/Closure/patch3-Closure-86-SequenceR-plausible.patch
461,Closure,1,"} else { // In this case, the name was implicitly provided by two independent // modules. We need to move this code up to a common module. -          int indexOfDot = namespace.indexOf('.'); +          int indexOfDot=namespace.indexOf(""JSC_NULL_ARGUMENT_ERROR""); if (indexOfDot == -1) { // Any old place is fine. compiler.getNodeForCodeInsertion(minimumModule)",SequenceR,93,patch2-Closure-93-SequenceR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/SequenceR/Closure/patch2-Closure-93-SequenceR-plausible.patch
462,Closure,1,// TODO(nicksantos): This needs to be changed so that it // returns true iff we're sure the value was never aliased from inside // the constructor (similar to callHasLocalResult) -        return true; +        return NodeUtil.evaluatesToLocalValue(value.getFirstChild()); case Token.FUNCTION: case Token.REGEXP: case Token.ARRAYLIT:,SequenceR,86,patch5-Closure-86-SequenceR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/SequenceR/Closure/patch5-Closure-86-SequenceR-plausible.patch
463,Closure,1," // Check if the sources need to be re-ordered. boolean staleInputs = false; -      if (options.dependencyOptions.needsManagement() && options.closurePass) { +      if(((options)!=null)&&(options.dependencyOptions.needsManagement())){ for (CompilerInput input : inputs) { // Forward-declare all the provided types, so that they // are not flagged even if they are dropped from the process.",SequenceR,18,patch3-Closure-18-SequenceR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/SequenceR/Closure/patch3-Closure-18-SequenceR-plausible.patch
464,Closure,1,"} else { // In this case, the name was implicitly provided by two independent // modules. We need to move this code up to a common module. -          int indexOfDot = namespace.indexOf('.'); +          int indexOfDot=namespace.indexOf('.','.'); if (indexOfDot == -1) { // Any old place is fine. compiler.getNodeForCodeInsertion(minimumModule)",SequenceR,93,patch1-Closure-93-SequenceR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/SequenceR/Closure/patch1-Closure-93-SequenceR-plausible.patch
465,Closure,1,"case Token.HOOK: { Preconditions.checkState(childCount == 3); int p = NodeUtil.precedence(type); -        Context rhsContext = Context.OTHER; +        CodeGenerator.Context rhsContext=CodeGenerator.Context.IN_FOR_INIT_CLAUSE; addExpr(first, p + 1, context); cc.addOp(""?"", true); addExpr(first.getNext(), 1, rhsContext);",SequenceR,123,patch1-Closure-123-SequenceR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/SequenceR/Closure/patch1-Closure-123-SequenceR-plausible.patch
466,Closure,1,"} else { // In this case, the name was implicitly provided by two independent // modules. We need to move this code up to a common module. -          int indexOfDot = namespace.indexOf('.'); +          int indexOfDot=namespace.indexOf(""JSC_INVALID_ARGUMENT_ERROR""); if (indexOfDot == -1) { // Any old place is fine. compiler.getNodeForCodeInsertion(minimumModule)",SequenceR,93,patch3-Closure-93-SequenceR-plausible.patch,Closure-overfit,patches_remove_inconsistent/overfitting/SequenceR/Closure/patch3-Closure-93-SequenceR-plausible.patch
