,project,label,content,tool,bug_id,filename,project_with_label,all_paths
416,Lang,1,if (cls == null) { return StringUtils.EMPTY; } -        return getPackageName(cls.getName()); +        return getPackageCanonicalName(cls.getName()); }  /** ,kPAR,41,patch1-Lang-41-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-41-kPAR-plausible.patch
417,Lang,1,switch (lastChar) { case 'l' : case 'L' : -                    if (dec == null -                        && exp == null +                    if (dec == null || exp == null && isDigits(numeric.substring(1)) && (numeric.charAt(0) == '-' || Character.isDigit(numeric.charAt(0)))) { try { ,kPAR,58,patch1-Lang-58-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-58-kPAR-plausible.patch
418,Lang,1,"*/ public StrBuilder appendFixedWidthPadRight(Object obj, int width, char padChar) { if (width > 0) { -            ensureCapacity(size + width); +            ensureCapacity(padChar); String str = (obj == null ? getNullText() : obj.toString()); int strLen = str.length(); if (strLen >= width) { ",kPAR,59,patch1-Lang-59-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-59-kPAR-plausible.patch
419,Lang,1,"upper = str.length(); } // if upper is less than lower, raise it to lower -        if (upper < lower) { +        if ((upper < lower) && (upper != str.length())) { upper = lower; } ",kPAR,45,patch1-Lang-45-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-45-kPAR-plausible.patch
420,Lang,1,"boolean wasWhite= false; for(int i= 0; i<value.length(); ++i) { char c= value.charAt(i); -            if(Character.isWhitespace(c)) { +            if((Character.isWhitespace(c)) && !(unquote)) { if(!wasWhite) { wasWhite= true; regex.append(""\\s*+""); ",kPAR,10,patch1-Lang-10-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-10-kPAR-plausible.patch
421,Lang,1,return EMPTY; }  -        StringBuilder buf = new StringBuilder((array[startIndex] == null ? 16 : array[startIndex].toString().length()) + 1); +        StringBuilder buf = new StringBuilder(noOfItems + 1);  for (int i = startIndex; i < endIndex; i++) { if (i > startIndex) { ,kPAR,20,patch1-Lang-20-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-20-kPAR-plausible.patch
422,Lang,1,"} dec = null; } -        if (!Character.isDigit(lastChar) && lastChar != '.') { +        if ((!Character.isDigit(lastChar) && lastChar != '.') && (expPos < str.length() - 1)) { if (expPos > -1 && expPos < str.length() - 1) { exp = str.substring(expPos + 1, str.length() - 1); } else { ",kPAR,16,patch1-Lang-16-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-16-kPAR-plausible.patch
423,Lang,1,"while (pos.getIndex() < pattern.length()) { switch (c[pos.getIndex()]) { case QUOTE: -                appendQuotedString(pattern, pos, stripCustom, true); +                appendQuotedString(pattern, pos, stripCustom, false); break; case START_FE: fmtCount++; ",kPAR,43,patch1-Lang-43-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-43-kPAR-plausible.patch
424,Lang,1,case 'l' : case 'L' : if (dec == null -                        && exp == null -                        && (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))) { +                        && exp == null || (numeric.charAt(0) == '-' && isDigits(numeric.substring(1)) || isDigits(numeric))) { try { return createLong(numeric); } catch (NumberFormatException nfe) { ,kPAR,44,patch1-Lang-44-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-44-kPAR-plausible.patch
425,Lang,1,return (cal1.get(Calendar.MILLISECOND) == cal2.get(Calendar.MILLISECOND) && cal1.get(Calendar.SECOND) == cal2.get(Calendar.SECOND) && cal1.get(Calendar.MINUTE) == cal2.get(Calendar.MINUTE) && -                cal1.get(Calendar.HOUR) == cal2.get(Calendar.HOUR) && +                cal1.get(MODIFY_TRUNCATE) == cal2.get(Calendar.HOUR) && cal1.get(Calendar.DAY_OF_YEAR) == cal2.get(Calendar.DAY_OF_YEAR) && cal1.get(Calendar.YEAR) == cal2.get(Calendar.YEAR) && cal1.get(Calendar.ERA) == cal2.get(Calendar.ERA) && ,kPAR,21,patch1-Lang-21-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-21-kPAR-plausible.patch
426,Lang,1,"rule = new TextField(Calendar.ERA, ERAs); break; case 'y': // year (number) -                if (tokenLen >= 4) { +                if ((tokenLen >= 4) || !(tokenLen == 2)) { rule = selectNumberRule(Calendar.YEAR, tokenLen); } else { rule = TwoDigitYearField.INSTANCE; ",kPAR,18,patch1-Lang-18-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-18-kPAR-plausible.patch
427,Lang,1,// can't have an E at the last byte return false; } -            if (chars[i] == '.') { +            if ((chars[i] == '.') || (chars[i] == 'l' +                || chars[i] == 'L')) { if (hasDecPoint || hasExp) { // two decimal points or dec in exponent return false; ,kPAR,24,patch1-Lang-24-kPAR-plausible.patch,Lang-overfit,patches_remove_inconsistent/overfitting/kPAR/Lang/patch1-Lang-24-kPAR-plausible.patch
